tx	gene_id	CONTROL_REP1	CONTROL_REP2	CONTROL_REP3	CONTROL_REP4
FBtr0113500	FBgn0083006	17.751	18.942	17.943	18.828
FBtr0309771	FBgn0263472	18.901	20.09	19.184	20.184
FBtr0309758	FBgn0263459	18.901	20.09	19.184	20.184
FBtr0087677	FBgn0033856	1235.636	1348.99	1269.663	1348.718
FBtr0305955	FBgn0033856	1898.636	2011.99	1932.663	2011.718
FBtr0346185	FBgn0261989	1775.636	1888.99	1809.663	1888.718
FBtr0303819	FBgn0261989	631.687	745.001	665.671	744.75
FBtr0303818	FBgn0261990	317.264	429.232	348.846	429.281
FBtr0339943	FBgn0265496	2307.636	2420.99	2341.663	2420.718
FBtr0339944	FBgn0265497	1265.636	1378.99	1299.663	1378.718
FBtr0330617	FBgn0027581	3419.636	3532.99	3453.663	3532.718
FBtr0330618	FBgn0027581	3113.636	3226.99	3147.663	3226.718
FBtr0087678	FBgn0027581	3113.636	3226.99	3147.663	3226.718
FBtr0344528	FBgn0266489	3113.636	3226.99	3147.663	3226.718
FBtr0087623	FBgn0033859	2467.636	2580.99	2501.663	2580.718
FBtr0087624	FBgn0033860	1748.636	1861.99	1782.663	1861.718
FBtr0304641	FBgn0262360	162.334	250.641	171.751	251.822
FBtr0345938	FBgn0085265	619.688	733.001	653.671	732.75
FBtr0301011	FBgn0085265	323.03	435.198	354.797	435.121
FBtr0087652	FBgn0033861	196.893	298.578	217.249	299.584
FBtr0339940	FBgn0000633	5553.636	5666.99	5587.663	5666.718
FBtr0087625	FBgn0000633	5652.636	5765.99	5686.663	5765.718
FBtr0087651	FBgn0033862	1778.636	1891.99	1812.663	1891.718
FBtr0344330	FBgn0033863	1867.636	1980.99	1901.663	1980.718
FBtr0087626	FBgn0033863	2317.636	2430.99	2351.663	2430.718
FBtr0087627	FBgn0033864	3533.636	3646.99	3567.663	3646.718
FBtr0344332	FBgn0266391	95.644	128.461	87.262	130.139
FBtr0344331	FBgn0266392	340.556	452.913	372.758	452.741
FBtr0087650	FBgn0033865	1101.636	1214.99	1135.663	1214.718
FBtr0087628	FBgn0033866	3380.636	3493.99	3414.663	3493.718
FBtr0087629	FBgn0033867	3101.636	3214.99	3135.663	3214.718
FBtr0087649	FBgn0033868	1796.636	1909.99	1830.663	1909.718
FBtr0332255	FBgn0033868	1704.636	1817.99	1738.663	1817.718
FBtr0332253	FBgn0264358	158.095	244.095	165.894	245.443
FBtr0332254	FBgn0264359	266.271	376.139	295.102	376.413
FBtr0087630	FBgn0033869	541.722	655.031	575.696	654.772
FBtr0304695	FBgn0261041	4540.636	4653.99	4574.663	4653.718
FBtr0087631	FBgn0261041	5731.636	5844.99	5765.663	5844.718
FBtr0304694	FBgn0261041	5499.636	5612.99	5533.663	5612.718
FBtr0087648	FBgn0000662	1922.636	2035.99	1956.663	2035.718
FBtr0087647	FBgn0000662	2241.636	2354.99	2275.663	2354.718
FBtr0304697	FBgn0000662	2159.636	2272.99	2193.663	2272.718
FBtr0304696	FBgn0000662	2109.636	2222.99	2143.663	2222.718
FBtr0087632	FBgn0033871	338.613	450.921	370.76	450.763
FBtr0087634	FBgn0033872	797.636	910.99	831.663	910.718
FBtr0087633	FBgn0033872	2316.636	2429.99	2350.663	2429.718
FBtr0339950	FBgn0033872	3009.636	3122.99	3043.663	3122.718
FBtr0087636	FBgn0033872	735.636	848.99	769.663	848.718
FBtr0087635	FBgn0033872	1107.636	1220.99	1141.663	1220.718
FBtr0339951	FBgn0033872	782.636	895.99	816.663	895.718
FBtr0345801	FBgn0033873	1076.636	1189.99	1110.663	1189.718
FBtr0087646	FBgn0033873	791.636	904.99	825.663	904.718
FBtr0087637	FBgn0033874	986.636	1099.99	1020.663	1099.718
FBtr0087638	FBgn0033875	1115.636	1228.99	1149.663	1228.718
FBtr0087645	FBgn0033876	2384.636	2497.99	2418.663	2497.718
FBtr0331382	FBgn0050484	2948.636	3061.99	2982.663	3061.718
FBtr0087640	FBgn0050485	2776.636	2889.99	2810.663	2889.718
FBtr0087643	FBgn0033879	725.636	838.99	759.663	838.718
FBtr0087644	FBgn0033879	798.636	911.99	832.663	911.718
FBtr0087642	FBgn0033880	819.636	932.99	853.663	932.718
FBtr0339952	FBgn0265498	852.636	965.99	886.663	965.718
FBtr0087641	FBgn0086356	2027.636	2140.99	2061.663	2140.718
FBtr0087585	FBgn0263697	1155.636	1268.99	1189.663	1268.718
FBtr0339954	FBgn0033883	918.636	1031.99	952.663	1031.718
FBtr0087622	FBgn0033883	990.636	1103.99	1024.663	1103.718
FBtr0339953	FBgn0033884	1133.636	1246.99	1167.663	1246.718
FBtr0087586	FBgn0033884	1710.636	1823.99	1744.663	1823.718
FBtr0304851	FBgn0013733	13335.636	13448.99	13369.663	13448.718
FBtr0304852	FBgn0013733	17487.636	17600.99	17521.663	17600.718
FBtr0301964	FBgn0013733	16566.636	16679.99	16600.663	16679.718
FBtr0301593	FBgn0013733	17475.636	17588.99	17509.663	17588.718
FBtr0304847	FBgn0013733	17403.636	17516.99	17437.663	17516.718
FBtr0304848	FBgn0013733	17690.636	17803.99	17724.663	17803.718
FBtr0087620	FBgn0013733	16581.636	16694.99	16615.663	16694.718
FBtr0087621	FBgn0013733	27516.636	27629.99	27550.663	27629.718
FBtr0301592	FBgn0013733	17682.636	17795.99	17716.663	17795.718
FBtr0087619	FBgn0013733	17688.636	17801.99	17722.663	17801.718
FBtr0087618	FBgn0013733	16788.636	16901.99	16822.663	16901.718
FBtr0273225	FBgn0013733	17643.636	17756.99	17677.663	17756.718
FBtr0273226	FBgn0013733	17622.636	17735.99	17656.663	17735.718
FBtr0304850	FBgn0013733	17519.636	17632.99	17553.663	17632.718
FBtr0087617	FBgn0013733	17450.636	17563.99	17484.663	17563.718
FBtr0087616	FBgn0013733	17465.636	17578.99	17499.663	17578.718
FBtr0301591	FBgn0013733	17459.636	17572.99	17493.663	17572.718
FBtr0304849	FBgn0013733	17477.636	17590.99	17511.663	17590.718
FBtr0273223	FBgn0013733	17399.636	17512.99	17433.663	17512.718
FBtr0273222	FBgn0013733	17420.636	17533.99	17454.663	17533.718
FBtr0273224	FBgn0013733	17405.636	17518.99	17439.663	17518.718
FBtr0304853	FBgn0013733	16822.636	16935.99	16856.663	16935.718
FBtr0087615	FBgn0033885	410.173	523.425	443.707	523.219
FBtr0305592	FBgn0262739	7562.636	7675.99	7596.663	7675.718
FBtr0087612	FBgn0262739	7202.636	7315.99	7236.663	7315.718
FBtr0087614	FBgn0262739	5412.636	5525.99	5446.663	5525.718
FBtr0087613	FBgn0262739	3155.636	3268.99	3189.663	3268.718
FBtr0100452	FBgn0053155	503.769	617.176	537.696	616.823
FBtr0100285	FBgn0050481	503.769	617.176	537.696	616.823
FBtr0100451	FBgn0053155	400.294	513.466	433.708	513.346
FBtr0100453	FBgn0053155	616.688	730.001	650.671	729.75
FBtr0114495	FBgn0033886	1064.636	1177.99	1098.663	1177.718
FBtr0339958	FBgn0033886	1169.636	1282.99	1203.663	1282.718
FBtr0087611	FBgn0033886	1064.636	1177.99	1098.663	1177.718
FBtr0114494	FBgn0033886	1169.636	1282.99	1203.663	1282.718
FBtr0087610	FBgn0033886	1051.636	1164.99	1085.663	1164.718
FBtr0114493	FBgn0033886	1156.636	1269.99	1190.663	1269.718
FBtr0087592	FBgn0013770	1160.636	1273.99	1194.663	1273.718
FBtr0087593	FBgn0013770	1043.636	1156.99	1077.663	1156.718
FBtr0304022	FBgn0261975	477.798	591.195	511.7	590.836
FBtr0339955	FBgn0013770	1336.636	1449.99	1370.663	1449.718
FBtr0304021	FBgn0013770	1155.636	1268.99	1189.663	1268.718
FBtr0087594	FBgn0020766	1200.636	1313.99	1234.663	1313.718
FBtr0087609	FBgn0033887	755.636	868.99	789.663	868.718
FBtr0345649	FBgn0033887	857.636	970.99	891.663	970.718
FBtr0345648	FBgn0033888	1184.636	1297.99	1218.663	1297.718
FBtr0087608	FBgn0033888	908.636	1021.99	942.663	1021.718
FBtr0303989	FBgn0033889	4608.636	4721.99	4642.663	4721.718
FBtr0339957	FBgn0033889	4757.636	4870.99	4791.663	4870.718
FBtr0303991	FBgn0033889	4561.636	4674.99	4595.663	4674.718
FBtr0303990	FBgn0033889	5028.636	5141.99	5062.663	5141.718
FBtr0087606	FBgn0033890	2630.636	2743.99	2664.663	2743.718
FBtr0330625	FBgn0033891	995.636	1108.99	1029.663	1108.718
FBtr0087595	FBgn0033891	820.636	933.99	854.663	933.718
FBtr0330626	FBgn0020620	2203.636	2316.99	2237.663	2316.718
FBtr0087603	FBgn0020620	2389.636	2502.99	2423.663	2502.718
FBtr0330627	FBgn0020620	2389.636	2502.99	2423.663	2502.718
FBtr0087605	FBgn0020620	2297.636	2410.99	2331.663	2410.718
FBtr0087604	FBgn0020620	2654.636	2767.99	2688.663	2767.718
FBtr0087596	FBgn0002643	5982.636	6095.99	6016.663	6095.718
FBtr0309640	FBgn0263539	17.402	18.567	17.567	18.415
FBtr0309641	FBgn0263539	21	21	21	21
FBtr0087597	FBgn0002643	7264.636	7377.99	7298.663	7377.718
FBtr0339956	FBgn0002643	7558.636	7671.99	7592.663	7671.718
FBtr0087599	FBgn0033893	175.562	271.162	190.508	272.371
FBtr0087598	FBgn0002643	1615.636	1728.99	1649.663	1728.718
FBtr0339764	FBgn0040752	8501.636	8614.99	8535.663	8614.718
FBtr0087601	FBgn0040752	7653.636	7766.99	7687.663	7766.718
FBtr0339763	FBgn0040752	7215.636	7328.99	7249.663	7328.718
FBtr0339765	FBgn0040752	7020.636	7133.99	7054.663	7133.718
FBtr0299667	FBgn0259183	212.999	317.791	236.286	318.699
FBtr0299668	FBgn0259184	324.963	437.178	356.794	437.032
FBtr0307217	FBgn0259184	316.295	428.247	347.854	428.293
FBtr0304266	FBgn0262215	28.948	31.296	28.873	31.649
FBtr0304267	FBgn0262215	21	21	21	21
FBtr0339966	FBgn0033897	3469.636	3582.99	3503.663	3582.718
FBtr0087584	FBgn0033897	2813.636	2926.99	2847.663	2926.718
FBtr0087583	FBgn0033897	3343.636	3456.99	3377.663	3456.718
FBtr0310669	FBgn0033897	3538.636	3651.99	3572.663	3651.718
FBtr0310671	FBgn0033897	3478.636	3591.99	3512.663	3591.718
FBtr0310670	FBgn0033897	3111.636	3224.99	3145.663	3224.718
FBtr0087582	FBgn0033897	2976.636	3089.99	3010.663	3089.718
FBtr0310668	FBgn0033897	3171.636	3284.99	3205.663	3284.718
FBtr0087518	FBgn0086895	3572.636	3685.99	3606.663	3685.718
FBtr0087581	FBgn0040751	124.391	181.631	118.019	183.606
FBtr0087519	FBgn0033899	1149.636	1262.99	1183.663	1262.718
FBtr0339965	FBgn0033900	1782.636	1895.99	1816.663	1895.718
FBtr0087580	FBgn0033900	1487.636	1600.99	1521.663	1600.718
FBtr0087520	FBgn0033901	1011.636	1124.99	1045.663	1124.718
FBtr0339959	FBgn0033901	1244.636	1357.99	1278.663	1357.718
FBtr0339964	FBgn0033902	1060.636	1173.99	1094.663	1173.718
FBtr0087579	FBgn0033902	1264.636	1377.99	1298.663	1377.718
FBtr0087521	FBgn0033903	1134.636	1247.99	1168.663	1247.718
FBtr0087522	FBgn0033904	738.636	851.99	772.663	851.718
FBtr0332918	FBgn0033904	672.65	785.995	706.67	785.729
FBtr0087523	FBgn0033905	792.636	905.99	826.663	905.718
FBtr0087524	FBgn0033905	1075.636	1188.99	1109.663	1188.718
FBtr0339963	FBgn0265499	1068.636	1181.99	1102.663	1181.718
FBtr0347284	FBgn0265499	1232.636	1345.99	1266.663	1345.718
FBtr0087525	FBgn0033906	445.865	559.288	479.701	559.048
FBtr0302453	FBgn0033906	520.745	634.079	554.696	633.799
FBtr0302451	FBgn0033906	551.701	665.028	585.696	664.769
FBtr0302452	FBgn0033906	697.636	810.99	731.663	810.718
FBtr0087578	FBgn0033907	230.352	337.02	255.665	337.784
FBtr0087529	FBgn0000289	2555.636	2668.99	2589.663	2668.718
FBtr0087528	FBgn0000289	2540.636	2653.99	2574.663	2653.718
FBtr0290034	FBgn0000289	3038.636	3151.99	3072.663	3151.718
FBtr0087527	FBgn0000289	3035.636	3148.99	3069.663	3148.718
FBtr0087526	FBgn0000289	2732.636	2845.99	2766.663	2845.718
FBtr0339962	FBgn0000289	3059.636	3172.99	3093.663	3172.718
FBtr0339960	FBgn0000289	2714.636	2827.99	2748.663	2827.718
FBtr0290035	FBgn0000289	4366.636	4479.99	4400.663	4479.718
FBtr0112795	FBgn0000289	4740.636	4853.99	4774.663	4853.718
FBtr0339961	FBgn0000289	4402.636	4515.99	4436.663	4515.718
FBtr0346946	FBgn0000289	4488.636	4601.99	4522.663	4601.718
FBtr0087530	FBgn0050069	12482.636	12595.99	12516.663	12595.718
FBtr0087577	FBgn0033911	2374.636	2487.99	2408.663	2487.718
FBtr0087576	FBgn0005613	3325.636	3438.99	3359.663	3438.718
FBtr0087575	FBgn0033912	539.723	653.034	573.696	652.772
FBtr0339970	FBgn0033912	236.406	343.833	262.552	344.486
FBtr0304328	FBgn0262407	22	22	22	22
FBtr0304327	FBgn0262407	2.763	63	3.546	9.234
FBtr0087532	FBgn0033913	3091.636	3204.99	3125.663	3204.718
FBtr0087533	FBgn0033913	3070.636	3183.99	3104.663	3183.718
FBtr0087534	FBgn0033913	3635.636	3748.99	3669.663	3748.718
FBtr0339759	FBgn0261276	2882.636	2995.99	2916.663	2995.718
FBtr0087574	FBgn0261276	2891.636	3004.99	2925.663	3004.718
FBtr0087573	FBgn0261276	2774.636	2887.99	2808.663	2887.718
FBtr0339761	FBgn0261276	3525.636	3638.99	3559.663	3638.718
FBtr0339760	FBgn0261276	2765.636	2878.99	2799.663	2878.718
FBtr0304390	FBgn0262427	21	21	21	21
FBtr0304389	FBgn0262427	58	58	58	4.455
FBtr0087571	FBgn0033915	2664.636	2777.99	2698.663	2777.718
FBtr0087572	FBgn0033915	2849.636	2962.99	2883.663	2962.718
FBtr0087569	FBgn0033915	2872.636	2985.99	2906.663	2985.718
FBtr0087535	FBgn0033916	3097.636	3210.99	3131.663	3210.718
FBtr0087536	FBgn0033917	1448.636	1561.99	1482.663	1561.718
FBtr0087537	FBgn0010241	3930.636	4043.99	3964.663	4043.718
FBtr0339969	FBgn0001220	2465.636	2578.99	2499.663	2578.718
FBtr0087568	FBgn0001220	2596.636	2709.99	2630.663	2709.718
FBtr0087538	FBgn0033918	1675.636	1788.99	1709.663	1788.718
FBtr0087539	FBgn0027538	1541.636	1654.99	1575.663	1654.718
FBtr0301204	FBgn0033919	2288.636	2401.99	2322.663	2401.718
FBtr0301203	FBgn0033919	2350.636	2463.99	2384.663	2463.718
FBtr0339968	FBgn0033919	2314.636	2427.99	2348.663	2427.718
FBtr0087565	FBgn0261270	1195.636	1308.99	1229.663	1308.718
FBtr0087564	FBgn0261270	1561.636	1674.99	1595.663	1674.718
FBtr0087540	FBgn0261269	4017.636	4130.99	4051.663	4130.718
FBtr0339967	FBgn0261269	3319.636	3432.99	3353.663	3432.718
FBtr0290111	FBgn0263397	5712.636	5825.99	5746.663	5825.718
FBtr0100370	FBgn0263397	6662.636	6775.99	6696.663	6775.718
FBtr0290110	FBgn0263397	6716.636	6829.99	6750.663	6829.718
FBtr0290109	FBgn0263397	6635.636	6748.99	6669.663	6748.718
FBtr0100372	FBgn0263397	7931.636	8044.99	7965.663	8044.718
FBtr0100369	FBgn0263397	8574.636	8687.99	8608.663	8687.718
FBtr0308837	FBgn0263397	3826.636	3939.99	3860.663	3939.718
FBtr0308834	FBgn0263397	2198.636	2311.99	2232.663	2311.718
FBtr0308835	FBgn0263397	2159.636	2272.99	2193.663	2272.718
FBtr0308836	FBgn0263397	2200.636	2313.99	2234.663	2313.718
FBtr0290292	FBgn0263397	2057.636	2170.99	2091.663	2170.718
FBtr0087562	FBgn0033921	1616.636	1729.99	1650.663	1729.718
FBtr0339991	FBgn0085408	5149.636	5262.99	5183.663	5262.718
FBtr0112614	FBgn0085408	4946.636	5059.99	4980.663	5059.718
FBtr0290253	FBgn0085408	2491.636	2604.99	2525.663	2604.718
FBtr0112616	FBgn0085408	2149.636	2262.99	2183.663	2262.718
FBtr0087546	FBgn0033924	2658.636	2771.99	2692.663	2771.718
FBtr0087561	FBgn0033925	1002.636	1115.99	1036.663	1115.718
FBtr0087560	FBgn0033926	2045.636	2158.99	2079.663	2158.718
FBtr0305617	FBgn0033927	1022.636	1135.99	1056.663	1135.718
FBtr0087547	FBgn0033928	576.691	690.008	610.696	689.751
FBtr0087548	FBgn0033929	1699.636	1812.99	1733.663	1812.718
FBtr0305616	FBgn0033929	1692.636	1805.99	1726.663	1805.718
FBtr0087549	FBgn0033929	1696.636	1809.99	1730.663	1809.718
FBtr0087550	FBgn0033929	1819.636	1932.99	1853.663	1932.718
FBtr0112377	FBgn0085213	390.414	503.504	423.709	503.443
FBtr0112746	FBgn0085471	505.769	619.166	539.696	618.819
FBtr0112747	FBgn0085472	464.818	578.222	498.7	577.852
FBtr0112748	FBgn0085473	594.688	708.002	628.686	707.75
FBtr0087557	FBgn0050067	347.366	459.837	379.753	459.704
FBtr0087558	FBgn0050067	403.265	516.464	436.708	516.324
FBtr0303243	FBgn0050073	1322.636	1435.99	1356.663	1435.718
FBtr0346514	FBgn0050072	1322.636	1435.99	1356.663	1435.718
FBtr0087554	FBgn0050074	267.185	377.128	296.089	377.392
FBtr0112378	FBgn0085214	159.28	245.956	167.591	247.248
FBtr0087556	FBgn0033931	429.968	543.336	463.701	543.124
FBtr0087555	FBgn0050075	378.626	491.536	411.715	491.545
FBtr0087485	FBgn0033932	2149.636	2262.99	2183.663	2262.718
FBtr0087486	FBgn0033933	1188.636	1301.99	1222.663	1301.718
FBtr0339989	FBgn0265500	198.453	300.48	219.146	301.466
FBtr0339990	FBgn0033934	1527.636	1640.99	1561.663	1640.718
FBtr0087517	FBgn0033934	866.636	979.99	900.663	979.718
FBtr0087487	FBgn0033935	1701.636	1814.99	1735.663	1814.718
FBtr0087488	FBgn0033936	3945.636	4058.99	3979.663	4058.718
FBtr0345529	FBgn0033936	4115.636	4228.99	4149.663	4228.718
FBtr0087516	FBgn0013725	1513.636	1626.99	1547.663	1626.718
FBtr0345531	FBgn0266815	168.822	260.927	181.017	262.009
FBtr0302927	FBgn0261613	4671.636	4784.99	4705.663	4784.718
FBtr0302926	FBgn0261613	4291.636	4404.99	4325.663	4404.718
FBtr0340522	FBgn0265655	297.023	408.564	327.911	408.557
FBtr0087492	FBgn0001332	2306.636	2419.99	2340.663	2419.718
FBtr0089258	FBgn0024698	4519.636	4632.99	4553.663	4632.718
FBtr0089257	FBgn0024698	4178.636	4291.99	4212.663	4291.718
FBtr0087493	FBgn0261823	6317.636	6430.99	6351.663	6430.718
FBtr0332930	FBgn0261823	6483.636	6596.99	6517.663	6596.718
FBtr0332929	FBgn0261823	6051.636	6164.99	6085.663	6164.718
FBtr0100154	FBgn0261823	4736.636	4849.99	4770.663	4849.718
FBtr0087514	FBgn0033942	327.878	440.113	359.787	440.003
FBtr0087494	FBgn0050197	178.122	274.888	194.087	276.028
FBtr0333164	FBgn0265974	6573.636	6686.99	6607.663	6686.718
FBtr0087495	FBgn0265974	3668.636	3781.99	3702.663	3781.718
FBtr0087513	FBgn0050076	1503.636	1616.99	1537.663	1616.718
FBtr0333167	FBgn0264540	173.576	268.346	187.875	269.541
FBtr0333165	FBgn0265974	2025.636	2138.99	2059.663	2138.718
FBtr0087512	FBgn0010397	2041.636	2154.99	2075.663	2154.718
FBtr0333166	FBgn0010397	2124.636	2237.99	2158.663	2237.718
FBtr0087496	FBgn0033943	2531.636	2644.99	2565.663	2644.718
FBtr0339977	FBgn0033943	2986.636	3099.99	3020.663	3099.718
FBtr0339978	FBgn0033943	2508.636	2621.99	2542.663	2621.718
FBtr0087511	FBgn0019938	4752.636	4865.99	4786.663	4865.718
FBtr0301734	FBgn0050077	351.25	463.807	383.743	463.692
FBtr0089616	FBgn0003742	1134.636	1247.99	1168.663	1247.718
FBtr0089615	FBgn0003742	902.636	1015.99	936.663	1015.718
FBtr0089620	FBgn0003742	1055.636	1168.99	1089.663	1168.718
FBtr0089621	FBgn0003742	1065.636	1178.99	1099.663	1178.718
FBtr0089619	FBgn0003742	1242.636	1355.99	1276.663	1355.718
FBtr0089618	FBgn0003742	1079.636	1192.99	1113.663	1192.718
FBtr0089617	FBgn0003742	1050.636	1163.99	1084.663	1163.718
FBtr0309786	FBgn0263487	14.217	15.345	14.513	15.307
FBtr0301735	FBgn0033945	363.974	476.658	396.725	476.614
FBtr0339979	FBgn0053469	279.151	389.884	308.989	390.15
FBtr0087504	FBgn0053469	327.878	440.113	359.787	440.003
FBtr0087503	FBgn0053468	285.635	396.767	315.941	396.949
FBtr0087501	FBgn0026427	9963.636	10076.99	9997.663	10076.718
FBtr0087502	FBgn0026427	5091.636	5204.99	5125.663	5204.718
FBtr0087498	FBgn0010638	466.817	580.222	500.7	579.849
FBtr0087500	FBgn0033948	1091.636	1204.99	1125.663	1204.718
FBtr0300251	FBgn0083123	428.979	542.34	462.701	542.131
FBtr0300231	FBgn0083123	482.782	596.195	516.699	595.836
FBtr0113501	FBgn0082951	3.968	3.781	4.236	3.635
FBtr0113502	FBgn0082940	17.31	6.124	6.841	20.19
FBtr0113503	FBgn0082939	17.31	6.124	6.841	20.19
FBtr0113504	FBgn0082926	17.31	6.124	6.841	20.19
FBtr0113505	FBgn0082950	13.31	3.729	3.607	16.69
FBtr0113506	FBgn0082952	13.31	3.729	3.607	16.69
FBtr0113507	FBgn0082941	8.331	1.994	11.074	15.848
FBtr0113508	FBgn0082931	16.516	7.556	15.218	7.813
FBtr0113509	FBgn0082930	14.266	8.255	13.649	10.914
FBtr0113510	FBgn0082929	14.741	7.006	11.841	16.627
FBtr0113511	FBgn0082919	15.31	5.408	4.841	18.352
FBtr0087499	FBgn0033949	732.636	845.99	766.663	845.718
FBtr0306289	FBgn0262881	59.467	69.128	57.238	70.138
FBtr0345941	FBgn0262881	133.51	198.432	130.275	200.312
FBtr0347197	FBgn0261632	105.045	145.882	96.223	147.69
FBtr0087484	FBgn0033950	99.21	135.045	90.752	136.908
FBtr0087433	FBgn0033951	499.769	613.181	533.696	612.83
FBtr0339980	FBgn0033951	628.688	742.001	662.671	741.75
FBtr0087482	FBgn0033952	1465.636	1578.99	1499.663	1578.718
FBtr0087481	FBgn0033953	785.636	898.99	819.663	898.718
FBtr0087480	FBgn0033954	851.636	964.99	885.663	964.718
FBtr0300764	FBgn0033955	2480.636	2593.99	2514.663	2593.718
FBtr0339981	FBgn0033955	2489.636	2602.99	2523.663	2602.718
FBtr0339982	FBgn0033955	2484.636	2597.99	2518.663	2597.718
FBtr0300765	FBgn0033955	2483.636	2596.99	2517.663	2596.718
FBtr0345427	FBgn0020269	2805.636	2918.99	2839.663	2918.718
FBtr0087477	FBgn0020269	2248.636	2361.99	2282.663	2361.718
FBtr0087479	FBgn0050479	277.297	387.927	306.998	388.196
FBtr0332468	FBgn0050479	3134.636	3247.99	3168.663	3247.718
FBtr0332466	FBgn0050480	3134.636	3247.99	3168.663	3247.718
FBtr0087478	FBgn0050480	2640.636	2753.99	2674.663	2753.718
FBtr0309057	FBgn0263376	1339.636	1452.99	1373.663	1452.718
FBtr0309056	FBgn0033958	4096.636	4209.99	4130.663	4209.718
FBtr0087476	FBgn0033958	3089.636	3202.99	3123.663	3202.718
FBtr0087436	FBgn0010388	113.467	160.754	104.553	162.61
FBtr0309055	FBgn0010388	428.979	542.34	462.701	542.131
FBtr0087437	FBgn0012042	464.818	578.222	498.7	577.852
FBtr0087438	FBgn0041581	462.822	576.222	496.7	575.858
FBtr0300942	FBgn0041581	553.701	667.028	587.696	666.769
FBtr0087475	FBgn0028689	1501.636	1614.99	1535.663	1614.718
FBtr0306558	FBgn0028689	1336.636	1449.99	1370.663	1449.718
FBtr0087474	FBgn0028689	1286.636	1399.99	1320.663	1399.718
FBtr0087439	FBgn0050476	230.352	337.02	255.665	337.784
FBtr0087473	FBgn0033960	1897.636	2010.99	1931.663	2010.718
FBtr0087472	FBgn0033960	2027.636	2140.99	2061.663	2140.718
FBtr0289934	FBgn0033960	2063.636	2176.99	2097.663	2176.718
FBtr0087471	FBgn0033960	1886.636	1999.99	1920.663	1999.718
FBtr0087440	FBgn0033961	175.562	271.162	190.508	272.371
FBtr0087470	FBgn0266723	342.488	454.888	374.755	454.727
FBtr0329881	FBgn0033963	1245.636	1358.99	1279.663	1358.718
FBtr0087469	FBgn0033963	1258.636	1371.99	1292.663	1371.718
FBtr0329880	FBgn0020767	3841.636	3954.99	3875.663	3954.718
FBtr0329879	FBgn0020767	2199.636	2312.99	2233.663	2312.718
FBtr0087468	FBgn0020767	2331.636	2444.99	2365.663	2444.718
FBtr0347230	FBgn0259112	348.332	460.833	380.752	460.697
FBtr0347231	FBgn0259112	905.636	1018.99	939.663	1018.718
FBtr0347232	FBgn0259112	1046.636	1159.99	1080.663	1159.718
FBtr0087441	FBgn0015602	866.636	979.99	900.663	979.718
FBtr0305588	FBgn0015602	1232.636	1345.99	1266.663	1345.718
FBtr0087442	FBgn0015602	847.636	960.99	881.663	960.718
FBtr0329882	FBgn0001319	2601.636	2714.99	2635.663	2714.718
FBtr0112809	FBgn0001319	3600.636	3713.99	3634.663	3713.718
FBtr0087465	FBgn0001319	3134.636	3247.99	3168.663	3247.718
FBtr0301400	FBgn0001319	3131.636	3244.99	3165.663	3244.718
FBtr0112810	FBgn0001319	3013.636	3126.99	3047.663	3126.718
FBtr0087444	FBgn0033968	409.184	522.427	442.707	522.236
FBtr0087445	FBgn0033968	495.769	609.181	529.697	608.834
FBtr0087464	FBgn0033969	1733.636	1846.99	1767.663	1846.718
FBtr0345702	FBgn0266868	495.769	609.181	529.697	608.834
FBtr0087446	FBgn0033970	522.745	636.078	556.696	635.799
FBtr0087447	FBgn0033970	578.688	692.008	612.696	691.751
FBtr0087463	FBgn0016684	2334.636	2447.99	2368.663	2447.718
FBtr0329884	FBgn0016684	1592.636	1705.99	1626.663	1705.718
FBtr0329883	FBgn0033971	1698.636	1811.99	1732.663	1811.718
FBtr0087462	FBgn0033971	1698.636	1811.99	1732.663	1811.718
FBtr0087461	FBgn0027783	3364.636	3477.99	3398.663	3477.718
FBtr0087448	FBgn0028434	624.688	738.001	658.671	737.75
FBtr0087460	FBgn0033972	860.636	973.99	894.663	973.718
FBtr0087449	FBgn0033973	1748.636	1861.99	1782.663	1861.718
FBtr0091446	FBgn0053506	747.636	860.99	781.663	860.718
FBtr0091445	FBgn0053505	1364.636	1477.99	1398.663	1477.718
FBtr0345528	FBgn0264962	5873.636	5986.99	5907.663	5986.718
FBtr0302560	FBgn0264962	5653.636	5766.99	5687.663	5766.718
FBtr0302294	FBgn0264962	5995.636	6108.99	6029.663	6108.718
FBtr0339985	FBgn0264962	5686.636	5799.99	5720.663	5799.718
FBtr0339986	FBgn0264962	5971.636	6084.99	6005.663	6084.718
FBtr0301513	FBgn0264962	2321.636	2434.99	2355.663	2434.718
FBtr0302109	FBgn0264962	493.772	607.182	527.697	606.835
FBtr0339983	FBgn0013773	1599.636	1712.99	1633.663	1712.718
FBtr0087450	FBgn0013773	1385.636	1498.99	1419.663	1498.718
FBtr0345526	FBgn0013773	1625.636	1738.99	1659.663	1738.718
FBtr0087451	FBgn0015714	1220.636	1333.99	1254.663	1333.718
FBtr0345527	FBgn0015714	1401.636	1514.99	1435.663	1514.718
FBtr0087452	FBgn0033978	1435.636	1548.99	1469.663	1548.718
FBtr0087453	FBgn0033979	1368.636	1481.99	1402.663	1481.718
FBtr0339984	FBgn0033979	1577.636	1690.99	1611.663	1690.718
FBtr0300128	FBgn0013771	1638.636	1751.99	1672.663	1751.718
