Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
FBgn0028867	CR15280	2L	-	14781715	14783110	0.0	0.0	0.0
FBgn0051611	His4:CG31611	2L	-	21424593	21425005	0.0	0.0	0.0
FBgn0266070	CR44823	2L	+	6231807	6232160	0.0	0.0	0.0
FBgn0031345	CG18132	2L	-	1516795	1517478	0.0	0.0	0.0
FBgn0266845	CG45307	2L	-	8751715	8752122	0.0	0.0	0.0
FBgn0028525	c(2)M	2L	+	16303264	16305940	0.0	0.0	0.0
FBgn0053843	His1:CG33843	2L	+	21501633	21502655	0.0	0.0	0.0
FBgn0040260	Ugt36Bc	2L	+	16799025	16801584	0.0	0.0	0.0
FBgn0053892	His2B:CG33892	2L	-	21477461	21478055	0.0	0.0	0.0
FBgn0031826	CG9550	2L	+	6497053	6498466	0.0	0.0	0.0
FBgn0051759	CG31759	2L	+	12207709	12210110	0.0	0.0	0.0
FBgn0262999	CG43307	2L	+	5811574	5811925	0.0	0.0	0.0
FBgn0264432	CG43850	2L	+	13415431	13420645	0.0	0.0	0.0
FBgn0053526	PNUTS	2L	+	870465	877038	0.0	0.0	0.0
FBgn0040992	CG10570	2L	-	18808694	18811252	0.0	0.0	0.0
FBgn0031877	CG10399	2L	+	6960377	6961653	0.0	0.0	0.0
FBgn0032202	CG18619	2L	+	10264125	10265229	0.0	0.0	0.0
FBgn0031453	Bacc	2L	+	2752445	2757975	0.0	0.0	0.0
FBgn0032878	CG9316	2L	-	20724209	20726551	0.0	0.0	0.0
FBgn0031730	CG7236	2L	+	5706374	5713791	0.0	0.0	0.0
FBgn0266830	CR45292	2L	+	19011902	19012254	0.0	0.0	0.0
FBgn0032793	CG10189	2L	-	19491647	19493253	0.0	0.0	0.0
FBgn0011259	Sema-1a	2L	+	8542147	8672041	0.0	0.0	0.0
FBgn0031217	CG11377	2L	+	102380	104142	0.0	0.0	0.0
FBgn0031390	tho2	2L	-	2137350	2145187	0.0	0.0	0.0
FBgn0032295	CG12299	2L	+	10737345	10740762	0.0	0.0	0.0
FBgn0086681	Mst36Fa	2L	-	18675183	18676998	0.0	0.0	0.0
FBgn0017551	Rca1	2L	+	6852315	6853866	0.0	0.0	0.0
FBgn0032447	PICK1	2L	+	12695033	12698917	0.0	0.0	0.0
FBgn0031974	CG12560	2L	-	8008302	8009477	0.0	0.0	0.0
FBgn0262598	mtsh	2L	-	8316889	8319908	0.0	0.0	0.0
FBgn0263386	CG43438	2L	+	11536145	11536844	0.0	0.0	0.0
FBgn0051885	tRNA:CR31885	2L	-	9236521	9236594	0.0	0.0	0.0
FBgn0051805	CG31805	2L	-	16898175	16900473	0.0	0.0	0.0
FBgn0087041	CG42231	2L	-	16342430	16352628	0.0	0.0	0.0
FBgn0086447	l(2)37Cg	2L	-	19133023	19135233	0.0	0.0	0.0
FBgn0053808	His2A:CG33808	2L	+	21433862	21434337	0.0	0.0	0.0
FBgn0014127	barr	2L	-	20058163	20061370	0.0	0.0	0.0
FBgn0259984	kuz	2L	+	13550139	13639411	0.0	0.0	0.0
FBgn0014189	Hel25E	2L	-	5539326	5542314	0.0	0.0	0.0
FBgn0086266	Vm26Ac	2L	-	5958005	5958631	0.0	0.0	0.0
FBgn0264874	CR44065	2L	+	2190191	2191272	0.0	0.0	0.0
FBgn0031436	CG3214	2L	-	2579201	2580172	0.0	0.0	0.0
FBgn0263027	CG43322	2L	+	7013396	7014737	0.0	0.0	0.0
FBgn0051871	CG31871	2L	+	10662081	10671487	0.0	0.0	0.0
FBgn0265087	CR44198	2L	-	13118872	13119288	0.0	0.0	0.0
FBgn0051832	CG31832	2L	-	15030928	15031750	0.0	0.0	0.0
FBgn0032047	CG13088	2L	+	8488981	8490546	0.0	0.0	0.0
FBgn0260817	gkt	2L	+	3159950	3162399	0.0	0.0	0.0
FBgn0053113	Rtnl1	2L	-	4992808	5009720	0.0	0.0	0.0
FBgn0262033	CR42844	2L	-	9304437	9305007	0.0	0.0	0.0
FBgn0031610	CG15436	2L	+	4463611	4465075	0.0	0.0	0.0
FBgn0264990	CG44141	2L	-	15659041	15659474	0.0	0.0	0.0
FBgn0053740	snmRNA:430:CR33740	2L	+	21508705	21508740	0.0	0.0	0.0
FBgn0051703	CG31703	2L	-	22102626	22104401	0.0	0.0	0.0
FBgn0267743	CR46074	2L	+	7724576	7724976	0.0	0.0	0.0
FBgn0266140	CR44846	2L	+	13746952	13756402	0.0	0.0	0.0
FBgn0032472	CG9928	2L	-	13142445	13142903	0.0	0.0	0.0
FBgn0262352	CG43050	2L	+	13119294	13120767	0.0	0.0	0.0
FBgn0028855	CG15282	2L	+	14712471	14713298	0.0	0.0	0.0
FBgn0041713	yellow-c	2L	+	15035394	15037841	0.0	0.0	0.0
FBgn0053196	dp	2L	-	4477462	4614300	0.0	0.0	0.0
FBgn0266143	CR44849	2L	+	14019395	14020325	0.0	0.0	0.0
FBgn0041103	nht	2L	-	15317954	15318901	0.0	0.0	0.0
FBgn0032053	mRpL51	2L	-	8516753	8517380	0.0	0.0	0.0
FBgn0267264	CR45700	2L	+	19322938	19326106	0.0	0.0	0.0
FBgn0054049	CG34049	2L	-	2264231	2265321	0.0	0.0	0.0
FBgn0261938	mtRNApol	2L	-	1103254	1108373	0.0	0.0	0.0
FBgn0032836	CG10680	2L	+	19964136	19965702	0.0	0.0	0.0
FBgn0264352	CR43808	2L	-	5904958	5906250	0.0	0.0	0.0
FBgn0032721	CG10602	2L	-	18855126	18859248	0.0	0.0	0.0
FBgn0031842	Tango1	2L	+	6649388	6654574	0.0	0.0	0.0
FBgn0028514	CG4793	2L	+	15923395	15926287	0.0	0.0	0.0
FBgn0053543	CG33543	2L	-	1997102	2006313	0.0	0.0	0.0
FBgn0266067	CR44820	2L	-	5690530	5691421	0.0	0.0	0.0
FBgn0032023	CG14274	2L	+	8338287	8342056	0.0	0.0	0.0
FBgn0032450	CG5776	2L	-	12700949	12704451	0.0	0.0	0.0
FBgn0031871	Fgop2	2L	-	6943178	6945289	0.0	0.0	0.0
FBgn0031968	CG7231	2L	+	7983946	7986785	0.0	0.0	0.0
FBgn0031281	Saf6	2L	-	813314	815950	0.0	0.0	0.0
FBgn0031512	CG15404	2L	+	3173972	3174504	0.0	0.0	0.0
FBgn0266871	CR45332	2L	-	17901807	17902691	0.0	0.0	0.0
FBgn0031857	CG11321	2L	-	6759829	6772755	0.0	0.0	0.0
FBgn0032004	CG8292	2L	-	8216851	8218017	0.0	0.0	0.0
FBgn0032390	dgt2	2L	+	11989936	11990979	0.0	0.0	0.0
FBgn0051785	CG31785	2L	-	18124098	18125749	0.0	0.0	0.0
FBgn0267012	CR45456	2L	+	9325845	9326721	0.0	0.0	0.0
FBgn0031343	CG18131	2L	-	1498455	1500608	0.0	0.0	0.0
FBgn0028870	CG4691	2L	+	14760767	14761924	0.0	0.0	0.0
FBgn0032373	Vha100-5	2L	+	11738948	11744524	0.0	0.0	0.0
FBgn0005593	RpL7	2L	+	10201004	10202321	0.0	0.0	0.0
FBgn0016122	Acer	2L	+	8521933	8525740	0.0	0.0	0.0
FBgn0051935	CG31935	2L	-	1594822	1611157	0.0	0.0	0.0
FBgn0264564	CR43936	2L	-	11840455	11840913	0.0	0.0	0.0
FBgn0024734	PRL-1	2L	-	16245835	16257606	0.0	0.0	0.0
FBgn0264350	CR43806	2L	-	16178318	16179188	0.0	0.0	0.0
FBgn0261458	capt	2L	-	1151678	1158262	0.0	0.0	0.0
FBgn0266822	CR45284	2L	-	14032006	14038306	0.0	0.0	0.0
FBgn0031310	Vps29	2L	+	1150766	1151764	0.0	0.0	0.0
FBgn0040107	lectin-21Ca	2L	+	624617	625556	0.0	0.0	0.0
FBgn0025777	homer	2L	-	6719394	6723359	0.0	0.0	0.0
FBgn0267378	sau	2L	+	2226342	2231099	0.0	0.0	0.0
FBgn0026438	Eaat2	2L	-	737212	744395	0.0	0.0	0.0
FBgn0065053	snoRNA:Me18S-C1831	2L	-	4457603	4457674	0.0	0.0	0.0
FBgn0000286	Cf2	2L	-	4876891	4883107	0.0	0.0	0.0
FBgn0031378	CG15362	2L	+	1981176	1982099	0.0	0.0	0.0
FBgn0051633	CG31633	2L	-	6654760	6656321	0.0	0.0	0.0
FBgn0266026	CR44791	2L	+	3389348	3389753	0.0	0.0	0.0
FBgn0261055	Sfp26Ad	2L	-	5942623	5943304	0.0	0.0	0.0
FBgn0024947	NTPase	2L	-	2880704	2885850	0.0	0.0	0.0
FBgn0015399	kek1	2L	-	12817000	12822787	0.0	0.0	0.0
FBgn0266904	CR45364	2L	-	7871978	7872367	0.0	0.0	0.0
FBgn0014092	CG4278	2L	+	16327069	16328131	0.0	0.0	0.0
FBgn0032509	CG6523	2L	+	13366447	13367410	0.0	0.0	0.0
FBgn0031418	CG3609	2L	-	2372455	2374627	0.0	0.0	0.0
FBgn0032399	CG6785	2L	-	12041054	12045200	0.0	0.0	0.0
FBgn0000497	ds	2L	-	640013	714983	0.0	0.0	0.0
FBgn0262475	bru-2	2L	+	12344219	12397528	0.0	0.0	0.0
FBgn0263090	CR43358	2L	-	18293733	18294056	0.0	0.0	0.0
FBgn0259192	CG42296	2L	-	2032519	2036041	0.0	0.0	0.0
FBgn0051636	CG31636	2L	-	6656459	6658152	0.0	0.0	0.0
FBgn0031550	Che-13	2L	+	3530789	3532678	0.0	0.0	0.0
FBgn0031762	CG9098	2L	-	6007364	6012338	0.0	0.0	0.0
FBgn0085409	CG34380	2L	+	6179133	6211114	0.0	0.0	0.0
FBgn0031450	Hrs	2L	+	2739986	2743377	0.0	0.0	0.0
FBgn0032455	Pih1D1	2L	-	12713276	12721843	0.0	0.0	0.0
FBgn0261357	CG42634	2L	+	18007935	18008962	0.0	0.0	0.0
FBgn0051644	CG31644	2L	-	5817890	5818443	0.0	0.0	0.0
FBgn0266882	CR45343	2L	+	8394429	8395332	0.0	0.0	0.0
FBgn0266219	CR44914	2L	+	6872714	6874378	0.0	0.0	0.0
FBgn0053734	snmRNA:430:CR33734	2L	+	21478323	21478358	0.0	0.0	0.0
FBgn0053735	snmRNA:430:CR33735	2L	+	21483366	21483401	0.0	0.0	0.0
FBgn0045038	Proc	2L	-	7864642	7871432	0.0	0.0	0.0
FBgn0032979	Clamp	2L	-	22165720	22169143	0.0	0.0	0.0
FBgn0040096	lectin-33A	2L	+	11002072	11002738	0.0	0.0	0.0
FBgn0020762	Atet	2L	+	4333913	4345776	0.0	0.0	0.0
FBgn0266831	CR45293	2L	-	15485697	15485951	0.0	0.0	0.0
FBgn0031878	sip2	2L	-	6961516	6964074	0.0	0.0	0.0
FBgn0032002	CG8353	2L	+	8214045	8215239	0.0	0.0	0.0
FBgn0266797	CR45259	2L	+	799856	800323	0.0	0.0	0.0
FBgn0039972	CG17018	2L	+	22308755	22368796	0.0	0.0	0.0
FBgn0259963	Sfp33A2	2L	+	11837713	11838049	0.0	0.0	0.0
FBgn0053902	His2B:CG33902	2L	-	21452211	21452805	0.0	0.0	0.0
FBgn0031472	CG2983	2L	+	2847632	2848997	0.0	0.0	0.0
FBgn0267003	CR45447	2L	+	13096994	13097298	0.0	0.0	0.0
FBgn0031635	tank	2L	-	4835335	4837999	0.0	0.0	0.0
FBgn0001125	Got2	2L	-	1984512	1987758	0.0	0.0	0.0
FBgn0266144	CR44850	2L	+	14349070	14349799	0.0	0.0	0.0
FBgn0031814	retm	2L	-	6448464	6455929	0.0	0.0	0.0
FBgn0031638	CG11927	2L	+	4847766	4849499	0.0	0.0	0.0
FBgn0010395	Itgbetanu	2L	+	21053033	21058044	0.0	0.0	0.0
FBgn0051740	CG31740	2L	+	18008953	18009694	0.0	0.0	0.0
FBgn0010422	TfIIS	2L	-	15058919	15060757	0.0	0.0	0.0
FBgn0263612	CR43621	2L	-	9584670	9586044	0.0	0.0	0.0
FBgn0267277	CR45713	2L	+	21232745	21234035	0.0	0.0	0.0
FBgn0262400	mir-287	2L	+	17574610	17574702	0.0	0.0	0.0
FBgn0263874	CR43721	2L	+	11307753	11308038	0.0	0.0	0.0
FBgn0264264	CR43764	2L	-	15295636	15297699	0.0	0.0	0.0
FBgn0065107	snmRNA:128	2L	+	5196035	5196097	0.0	0.0	0.0
FBgn0031476	CG8813	2L	+	2869652	2870649	0.0	0.0	0.0
FBgn0265829	CR44618	2L	-	10542860	10543522	0.0	0.0	0.0
FBgn0001970	Pgant35A	2L	+	14359252	14361411	0.0	0.0	0.0
FBgn0266221	CR44916	2L	-	21999734	22000420	0.0	0.0	0.0
FBgn0020304	drongo	2L	-	833584	851071	0.0	0.0	0.0
FBgn0032338	CG16854	2L	+	11086721	11090973	0.0	0.0	0.0
FBgn0032553	CG4480	2L	-	14870371	14872022	0.0	0.0	0.0
FBgn0040099	lectin-28C	2L	+	7857077	7860120	0.0	0.0	0.0
FBgn0053510	CG33510	2L	-	21082643	21084326	0.0	0.0	0.0
FBgn0032318	CG14072	2L	+	10936662	10937931	0.0	0.0	0.0
FBgn0266839	CR45301	2L	-	3386863	3387278	0.0	0.0	0.0
FBgn0261534	l(2)34Fc	2L	-	14349020	14351513	0.0	0.0	0.0
FBgn0028850	CG15260	2L	-	15291426	15292239	0.0	0.0	0.0
FBgn0250786	Chd1	2L	-	2979562	2987723	0.0	0.0	0.0
FBgn0051952	CG31952	2L	+	3416693	3418068	0.0	0.0	0.0
FBgn0031276	CG12506	2L	+	773547	774017	0.0	0.0	0.0
FBgn0051661	CG31661	2L	+	1497243	1498583	0.0	0.0	0.0
FBgn0264672	Eogt	2L	+	2381097	2383073	0.0	0.0	0.0
FBgn0003922	snRNA:U2:38ABa	2L	-	19815614	19815805	0.0	0.0	0.0
FBgn0003716	tkv	2L	-	5219000	5271384	0.0	0.0	0.0
FBgn0031903	Wnt10	2L	+	7363379	7377528	0.0	0.0	0.0
FBgn0265812	CR44601	2L	-	15822345	15822942	0.0	0.0	0.0
FBgn0051673	CG31673	2L	+	20829609	20831161	0.0	0.0	0.0
FBgn0031902	Wnt6	2L	+	7333714	7352542	0.0	0.0	0.0
FBgn0250826	CG34160	2L	+	10579753	10580324	0.0	0.0	0.0
FBgn0031254	CG13692	2L	+	421771	422489	0.0	0.0	0.0
FBgn0032698	CG10336	2L	+	18689528	18690906	0.0	0.0	0.0
FBgn0010583	dock	2L	+	825969	833241	0.0	0.0	0.0
FBgn0266066	CR44819	2L	+	5690529	5691770	0.0	0.0	0.0
FBgn0051912	CR31912	2L	+	5769752	5771537	0.0	0.0	0.0
FBgn0031836	CG11050	2L	+	6611011	6617117	0.0	0.0	0.0
FBgn0000251	cad	2L	+	20770731	20783135	0.0	0.0	0.0
FBgn0031457	CG3077	2L	-	2763416	2765665	0.0	0.0	0.0
FBgn0032801	CG10165	2L	-	19526910	19530305	0.0	0.0	0.0
FBgn0032289	CG6431	2L	+	10724203	10728740	0.0	0.0	0.0
FBgn0028888	CG4168	2L	-	15161882	15200459	0.0	0.0	0.0
FBgn0032775	CG17544	2L	-	19390370	19398493	0.0	0.0	0.0
FBgn0063391	snoRNA:U14:30Eb	2L	-	9893946	9894026	0.0	0.0	0.0
FBgn0031384	CG4238	2L	+	2009859	2030788	0.0	0.0	0.0
FBgn0040097	lectin-30A	2L	-	9254076	9254854	0.0	0.0	0.0
FBgn0032973	CG6675	2L	+	22108964	22110449	0.0	0.0	0.0
FBgn0051648	CG31648	2L	+	5526957	5527854	0.0	0.0	0.0
FBgn0052829	CG32829	2L	-	6915581	6916445	0.0	0.0	0.0
FBgn0046302	CG10650	2L	-	18993360	18995934	0.0	0.0	0.0
FBgn0051851	CG31851	2L	+	13257477	13258644	0.0	0.0	0.0
FBgn0032896	CG14400	2L	-	20856987	20857891	0.0	0.0	0.0
FBgn0000153	b	2L	+	13821248	13823979	0.0	0.0	0.0
FBgn0031305	Iris	2L	-	1132332	1134098	0.0	0.0	0.0
FBgn0031970	CG7227	2L	-	7994388	7998151	0.0	0.0	0.0
FBgn0031392	AIF	2L	+	2151754	2155389	0.0	0.0	0.0
FBgn0265827	CR44616	2L	-	9121571	9121923	0.0	0.0	0.0
FBgn0031609	CG15443	2L	-	4461657	4463447	0.0	0.0	0.0
FBgn0011829	Ret	2L	-	21182446	21198762	0.0	0.0	0.0
FBgn0005779	PpD6	2L	+	3109672	3110998	0.0	0.0	0.0
FBgn0053643	CG33643	2L	+	13531074	13531662	0.0	0.0	0.0
FBgn0032590	CG4631	2L	+	16607370	16610037	0.0	0.0	0.0
FBgn0265808	CR44597	2L	-	12571160	12571606	0.0	0.0	0.0
FBgn0032304	CG17134	2L	+	10820705	10821967	0.0	0.0	0.0
FBgn0083972	CG34136	2L	+	21096922	21098932	0.0	0.0	0.0
FBgn0051659	CG31659	2L	-	1358925	1359790	0.0	0.0	0.0
FBgn0265912	CR44701	2L	+	9887039	9887389	0.0	0.0	0.0
FBgn0011863	tRNA:G3:35Bb	2L	-	14518307	14518377	0.0	0.0	0.0
FBgn0266842	CR45304	2L	-	7328944	7329519	0.0	0.0	0.0
FBgn0001084	fy	2L	-	8401476	8403280	0.0	0.0	0.0
FBgn0065110	ppk10	2L	-	10450134	10452396	0.0	0.0	0.0
FBgn0028979	tio	2L	+	22019208	22025734	0.0	0.0	0.0
FBgn0032335	CG14915	2L	+	11071027	11071532	0.0	0.0	0.0
FBgn0027348	bgm	2L	+	14013004	14019328	0.0	0.0	0.0
FBgn0024920	Ts	2L	-	2968293	2969638	0.0	0.0	0.0
FBgn0032789	CG13083	2L	+	19487490	19488691	0.0	0.0	0.0
FBgn0032420	CG6583	2L	-	12171204	12172586	0.0	0.0	0.0
FBgn0263206	CG43376	2L	+	13773997	13774355	0.0	0.0	0.0
FBgn0000339	cni	2L	-	16309292	16310726	0.0	0.0	0.0
FBgn0267014	CR45458	2L	-	14746807	14747080	0.0	0.0	0.0
FBgn0085194	CG34165	2L	+	14713750	14714526	0.0	0.0	0.0
FBgn0265819	CR44608	2L	+	4228921	4229458	0.0	0.0	0.0
FBgn0032847	Taf13	2L	-	20093088	20093849	0.0	0.0	0.0
FBgn0031725	CG14010	2L	-	5601723	5617946	0.0	0.0	0.0
FBgn0063389	snoRNA:Me18S-G1620	2L	-	9894477	9894544	0.0	0.0	0.0
FBgn0031992	CG8498	2L	-	8161796	8162452	0.0	0.0	0.0
FBgn0053641	CG33641	2L	+	13529042	13529821	0.0	0.0	0.0
FBgn0031496	CG17258	2L	-	3032210	3035348	0.0	0.0	0.0
FBgn0266885	CR45346	2L	-	1214649	1215293	0.0	0.0	0.0
FBgn0261608	RpL37A	2L	+	5070957	5072055	0.0	0.0	0.0
FBgn0031409	CG4271	2L	+	2285163	2285926	0.0	0.0	0.0
FBgn0260451	CG14042	2L	+	5037709	5040818	0.0	0.0	0.0
FBgn0031874	CG13775	2L	-	6954357	6956950	0.0	0.0	0.0
FBgn0021944	Coprox	2L	+	6964421	6965887	0.0	0.0	0.0
FBgn0032709	CG15167	2L	+	18740358	18740807	0.0	0.0	0.0
FBgn0028886	CG15279	2L	-	14844993	14851749	0.0	0.0	0.0
FBgn0083030	snoRNA:Psi18S-525i	2L	+	20421617	20421752	0.0	0.0	0.0
FBgn0086040	snoRNA:Me28S-A3365	2L	+	20353482	20353582	0.0	0.0	0.0
FBgn0027932	Akap200	2L	+	8415690	8431297	0.0	0.0	0.0
FBgn0051698	CG31698	2L	-	3173205	3173840	0.0	0.0	0.0
FBgn0265949	CR44736	2L	+	16203110	16203476	0.0	0.0	0.0
FBgn0015391	glu	2L	-	16733617	16738388	0.0	0.0	0.0
FBgn0065100	snmRNA:254	2L	-	21680670	21680700	0.0	0.0	0.0
FBgn0045495	Gr28b	2L	-	7454826	7462247	0.0	0.0	0.0
FBgn0266148	CR44854	2L	-	14557939	14558852	0.0	0.0	0.0
FBgn0032138	CG4364	2L	-	9708921	9711271	0.0	0.0	0.0
FBgn0051814	CG31814	2L	-	13676860	13717320	0.0	0.0	0.0
FBgn0031942	CG7203	2L	-	7752170	7753186	0.0	0.0	0.0
FBgn0031811	CG13982	2L	+	6412315	6415335	0.0	0.0	0.0
FBgn0031655	Marcal1	2L	+	4955509	4958292	0.0	0.0	0.0
FBgn0266449	Kr-h2	2L	+	6070990	6073961	0.0	0.0	0.0
FBgn0262743	Fs(2)Ket	2L	+	20734609	20750941	0.0	0.0	0.0
FBgn0262456	mir-125	2L	+	18472315	18472424	0.0	0.0	0.0
FBgn0267261	CR45697	2L	+	17547185	17547849	0.0	0.0	0.0
FBgn0031998	SLC5A11	2L	-	8200465	8205132	0.0	0.0	0.0
FBgn0015797	Rab6	2L	-	12107221	12109116	0.0	0.0	0.0
FBgn0032521	CG7110	2L	+	13398991	13411047	0.0	0.0	0.0
FBgn0042189	CG17376	2L	-	6799946	6800894	0.0	0.0	0.0
FBgn0032072	CG9483	2L	+	8866767	8867686	0.0	0.0	0.0
FBgn0031777	CG9154	2L	-	6069790	6070686	0.0	0.0	0.0
FBgn0027600	obst-B	2L	+	10032690	10038954	0.0	0.0	0.0
FBgn0032014	CG7840	2L	+	8305586	8306741	0.0	0.0	0.0
FBgn0085197	CG34168	2L	-	16134714	16135272	0.0	0.0	0.0
FBgn0263200	Galt	2L	-	6666264	6668033	0.0	0.0	0.0
FBgn0031461	daw	2L	+	2805261	2812376	0.0	0.0	0.0
FBgn0000317	ck	2L	-	15044963	15057862	0.0	0.0	0.0
FBgn0250843	Prosalpha6	2L	+	10221351	10222546	0.0	0.0	0.0
FBgn0265795	CR44584	2L	-	11331889	11332736	0.0	0.0	0.0
FBgn0262000	CG42818	2L	+	16241939	16245559	0.0	0.0	0.0
FBgn0031804	CG9500	2L	-	6357005	6358318	0.0	0.0	0.0
FBgn0028872	CG18095	2L	-	14029262	14031539	0.0	0.0	0.0
FBgn0011291	Taf11	2L	-	9762424	9763262	0.0	0.0	0.0
FBgn0051760	CG31760	2L	+	12142780	12170508	0.0	0.0	0.0
FBgn0031529	CG9662	2L	-	3375832	3376737	0.0	0.0	0.0
FBgn0028534	CG7916	2L	+	13846752	13847799	0.0	0.0	0.0
FBgn0031977	baf	2L	+	8029462	8030565	0.0	0.0	0.0
FBgn0028530	mTTF	2L	-	14347239	14348790	0.0	0.0	0.0
FBgn0264978	Slh	2L	-	2488197	2492671	0.0	0.0	0.0
FBgn0032261	CG6094	2L	+	10507081	10508032	0.0	0.0	0.0
FBgn0002031	l(2)37Cc	2L	-	19121345	19123869	0.0	0.0	0.0
FBgn0051658	Nnf1b	2L	+	810577	811531	0.0	0.0	0.0
FBgn0262356	CG43054	2L	+	17627859	17628389	0.0	0.0	0.0
FBgn0053819	His1:CG33819	2L	+	21461173	21462195	0.0	0.0	0.0
FBgn0032299	CG17127	2L	+	10770868	10771370	0.0	0.0	0.0
FBgn0053823	His2A:CG33823	2L	+	21468098	21468590	0.0	0.0	0.0
FBgn0000392	cup	2L	+	6663664	6674780	0.0	0.0	0.0
FBgn0053302	Cpr31A	2L	+	10054213	10055935	0.0	0.0	0.0
FBgn0045486	Gr36b	2L	+	17178772	17180064	0.0	0.0	0.0
FBgn0003979	Vm26Aa	2L	-	5959596	5960340	0.0	0.0	0.0
FBgn0082980	snoRNA:Psi28S-2996	2L	-	22535458	22535593	0.0	0.0	0.0
FBgn0243486	rdo	2L	+	18012380	18070246	0.0	0.0	0.0
FBgn0032925	CG9246	2L	+	21163641	21166090	0.0	0.0	0.0
FBgn0032726	CG10621	2L	-	18952206	18954431	0.0	0.0	0.0
FBgn0266879	CR45340	2L	+	66318	66524	0.0	0.0	0.0
FBgn0085211	RpS28-like	2L	+	9436804	9437227	0.0	0.0	0.0
FBgn0053733	snmRNA:430:CR33733	2L	+	21473280	21473315	0.0	0.0	0.0
FBgn0020443	Elf	2L	+	12434452	12441279	0.0	0.0	0.0
FBgn0053871	His4:CG33871	2L	-	21529242	21529769	0.0	0.0	0.0
FBgn0264441	CR43859	2L	-	11205528	11206092	0.0	0.0	0.0
FBgn0045064	bwa	2L	+	20066391	20073719	0.0	0.0	0.0
FBgn0023415	Acp32CD	2L	+	11015620	11016571	0.0	0.0	0.0
FBgn0032480	Edem2	2L	+	13192201	13197281	0.0	0.0	0.0
FBgn0032639	CG18563	2L	-	17456670	17458044	0.0	0.0	0.0
FBgn0053129	CG33129	2L	-	10964905	10970275	0.0	0.0	0.0
FBgn0266149	CR44855	2L	+	14560778	14561355	0.0	0.0	0.0
FBgn0032042	CG13398	2L	-	8412144	8415256	0.0	0.0	0.0
FBgn0263087	CG43355	2L	+	11484707	11486949	0.0	0.0	0.0
FBgn0265799	CR44588	2L	+	12013528	12013899	0.0	0.0	0.0
FBgn0086035	snoRNA:Me18S-G642	2L	+	11234835	11234912	0.0	0.0	0.0
FBgn0053903	His4:CG33903	2L	-	21439589	21440001	0.0	0.0	0.0
FBgn0053855	His1:CG33855	2L	+	21521616	21522638	0.0	0.0	0.0
FBgn0265948	CR44735	2L	-	16195845	16196245	0.0	0.0	0.0
FBgn0053802	His-Psi:CR33802	2L	+	21418835	21419167	0.0	0.0	0.0
FBgn0053888	His2B:CG33888	2L	-	21487655	21488249	0.0	0.0	0.0
FBgn0024191	sip1	2L	+	5721051	5723944	0.0	0.0	0.0
FBgn0041111	lilli	2L	+	2885929	2954406	0.0	0.0	0.0
FBgn0263133	ico	2L	-	7220369	7223081	0.0	0.0	0.0
FBgn0053884	His2B:CG33884	2L	-	21497745	21498339	0.0	0.0	0.0
FBgn0040715	CG15386	2L	-	2216503	2217246	0.0	0.0	0.0
FBgn0032625	CG15136	2L	-	17047161	17048281	0.0	0.0	0.0
FBgn0051600	CG31600	2L	-	21914269	21915358	0.0	0.0	0.0
FBgn0031776	CG13993	2L	+	6069079	6069838	0.0	0.0	0.0
FBgn0032018	CG7806	2L	+	8311399	8317011	0.0	0.0	0.0
FBgn0031882	Rab30	2L	-	7030493	7032606	0.0	0.0	0.0
FBgn0032219	CG4995	2L	+	10322476	10324990	0.0	0.0	0.0
FBgn0053737	snmRNA:430:CR33737	2L	+	21493562	21493597	0.0	0.0	0.0
FBgn0031906	CG5160	2L	-	7390984	7398750	0.0	0.0	0.0
FBgn0267347	squ	2L	+	16680054	16681653	0.0	0.0	0.0
FBgn0010100	Acon	2L	+	21168570	21173185	0.0	0.0	0.0
FBgn0032156	CG13124	2L	-	9903279	9908633	0.0	0.0	0.0
FBgn0031501	CG17261	2L	+	3042551	3043593	0.0	0.0	0.0
FBgn0261068	LSm7	2L	-	16742315	16743100	0.0	0.0	0.0
FBgn0031657	CG3756	2L	+	4969004	4970216	0.0	0.0	0.0
FBgn0266212	CR44907	2L	-	20068793	20069318	0.0	0.0	0.0
FBgn0031721	CG14017	2L	+	5553897	5555137	0.0	0.0	0.0
FBgn0031619	CG3355	2L	+	4651403	4652892	0.0	0.0	0.0
FBgn0260446	GABA-B-R1	2L	+	15016331	15034704	0.0	0.0	0.0
FBgn0032940	Mio	2L	-	21286078	21310050	0.0	0.0	0.0
FBgn0040993	CG17325	2L	+	18812648	18813941	0.0	0.0	0.0
FBgn0082938	snoRNA:Me28S-C2645a	2L	+	20647817	20647891	0.0	0.0	0.0
FBgn0032850	Kua	2L	+	20097581	20103375	0.0	0.0	0.0
FBgn0032402	CG14945	2L	+	12049418	12052049	0.0	0.0	0.0
FBgn0024314	Plap	2L	-	1167172	1170365	0.0	0.0	0.0
FBgn0266906	CR45366	2L	+	357329	358174	0.0	0.0	0.0
FBgn0032096	Or30a	2L	+	9111814	9113285	0.0	0.0	0.0
FBgn0031232	CG11617	2L	-	204743	207297	0.0	0.0	0.0
FBgn0028910	tRNA:P:35Bc	2L	+	14599674	14599745	0.0	0.0	0.0
FBgn0265078	CR44189	2L	+	19217407	19218135	0.0	0.0	0.0
FBgn0015380	drl	2L	+	19190342	19208621	0.0	0.0	0.0
